Category,Project,Description,video,Observation,Github
MCP Search Platform,AI-Powered Search MCP Integration Platform,"Comprehensive full-stack application providing AI-powered interactions with Google Search and Perplexity AI through MCP servers with optional HTTPS security, user authentication, and advanced caching",https://youtu.be/vHGWd4BqVBc,,
Claude Desktop,Claude Desktop Setup Guide,Complete guide for Claude Desktop installation and MCP configuration,https://youtu.be/YFQrBxj1qpY,,
MCP Client,MCP Python Client/Server,Python reference implementation for MCP client/server (STDIO/SSE/HTTP) with tool examples and end-to-end flow,https://youtu.be/PpRfyOVL_Gs,,
MCP Platform,MCP Server,Production-ready base MCP server with transport support (STDIO/SSE/HTTP) and authentication,https://youtu.be/FgCWM6SOsms,,
MCP Tools,Financial Markets Analysis MCP,MCP tool for technical/market analysis with strategies and backtesting,https://youtu.be/t38dOJW1I0s,,
Mortgage Analysis,Combined-Loan-to-Value,,https://youtu.be/GElkDW-AaiU,,
Microsoft Ai,Copilot Assisted Order Management Tool,,https://youtu.be/G88myIILLS4,,
Google AI,"Introduction to Google ADK, Agent Development Kit",,https://youtu.be/eZycQQa7WoM,,
Google AI,MCP Toolbox for BigQuery and Databases with ADK,,https://youtu.be/FsEWxmN8Md4,,
Agentic AI,Deep Dive Advanced Reasoning Techniques with LLMs. CoT and React,,https://youtu.be/Vn_vKkn0dZA,,
Agentic AI,Build a Knowledge Graph with Google ADK and Neo4J,,https://youtu.be/n64r9_Y6ZoI,,
MCP Tools,MSSQL MCP Server with OAuth 2.0 and ChatGPT Integration,,https://youtu.be/GQMwCczHQQ8,,
Agentic AI,How to Agentic Workflows,,https://youtu.be/uvLA5d0sx6s,,
Google AI,How to use OpenAPI tools with Google ADK agents,,https://youtu.be/Jfk3uBA_ZCc,,
Microsoft Ai,Connect Azure Ai Foundry agents with OpenAPI tools,,https://youtu.be/DnC3wfTQxg0,,
OpenApi / ChatGPT,Connect private data with OpenAPI to custom GPTs using actions in ChatGPT ,,https://youtu.be/2ZQqWyhp8ew,,
Agentic AI,Intelligent Agent for conducting research with Deep Agents Langchain,,https://youtu.be/BzS0WD86qL4,,
Agentic AI,Search and enrich data with Artificial Intelligence,,https://youtu.be/uYF4kqcwcXo,,
Agentic AI,SharePoint MCP server with Microsoft Graph API. LLamaIdex Bot,,https://youtu.be/8vEG_nmNhJQ,,
Agentic AI,Financial Market Analysis Tool build with Intelligent Agents (SmolAgents) ,,https://youtu.be/OaC8QeAYAa0,,
Agentic AI,Custom MCP Streamable HTTP connector for PostgreSQL database,,https://youtu.be/5HaEU4vMPZw,,
Agentic AI,Connect your MSSQL database to Copilot with OpenAPI Connector,,https://youtu.be/NrdDAR-qkrk,,
Agentic AI,Create an MCP Http Streamable server and connect it to Copilot agents,,https://youtu.be/jSMBeDFdZkI,,
Agentic AI,Connect to your Copilot Agents with Azure Bot Service,,https://youtu.be/TE6pRBioi5E,,
Agentic AI,Introduction to the CrewAI Framework,,https://youtu.be/MbjTa3vNr-o,,
Agentic AI,Connect to your Copilot agents using available SDKs,,https://youtu.be/LFZPyU35ppc,,
Agentic AI,Build AI Foundry Agent with SharePoint as tools,,https://youtu.be/RPujS9mpbu8,,
Agentic AI,Knowledge Graph-based Reporting with Deep Agents and Neo4J,,https://youtu.be/kK8xflUAl40,,
Agentic AI,Access SharePoint and Microsoft 365 data with intelligent agents and semantic search,,https://youtu.be/JXbLip1qxKM,,
Agentic AI,MCP Financial Markets Analysis Tool (Google ADK),,https://youtu.be/DCgCisa95jg,,
Agentic AI,OWASP Security Workbench. Build Multi-Agent Applications with CREWAI ,,https://youtu.be/NGljkurRziU,,
Agentic AI,Reinforcement Learning Introduction,,https://youtu.be/6ZK3RIKc-H8,,
Agentic AI,Gemini CLI. The Open Source AI Agent,,https://youtu.be/3-Fmpy3-kGc,,
Reinforcement Learning,Q-learning and Deep Q-Networks,,https://youtu.be/7RhGK68olVc,,
Reinforcement Learning,"Improving vanilla DQN, Road to Rainbow DQN",,https://youtu.be/WngI9vc6ahE,,
Reinforcement Learning,"Advanced algorithms Q-Learning, Rainbow DQN",,https://youtu.be/rnw8qE0fisw,,
Reinforcement Learning,Policy Optimization Introduction. Reinforce to PPO to RLHF ,,https://youtu.be/mfjWWOsCNIo,,
Reinforcement Learning,"Advanced Policy Optimization. A2C, A3C, PPO and TRPO ",,https://youtu.be/JYGg_U3UVgg,,
Agentic AI,"AI Agents Evaluation. DeepEval, Inspect AI, and Azure AI Evaluation SDK",,https://youtu.be/-5yW3_EbnAw,,
Reinforcement Learning,"Continuous Control, Actor-Critic Off-Policy Methods",,https://youtu.be/BULfoeeYWT8,,
Reinforcement Learning,Libraries and RL in financial Trading,,https://youtu.be/7Ja9TOv2nIg,,
Reinforcement Learning,"Post-Training LLM,s. SFT, DPO, ORPO, PPO, GRPO Parte 1",,https://youtu.be/18eyk6_ZLZg,Translated Youtube,
Reinforcement Learning,"Post-Training LLM,s. SFT, DPO, ORPO, PPO, GRPO Parte 2",,https://youtu.be/JnGS4_h0FgY,Translated Youtube,
Reinforcement Learning,RL aplicado al Trading Parte 1,,https://youtu.be/BBavzqb_PpQ,Translated Youtube,
Reinforcement Learning,RL aplicado al Trading Parte 2,,https://youtu.be/kex4t7I24RY,Translated Youtube,
MLOPS,"UV, el gestor de paquetes y proyectos Python rápido y eficaz",,https://youtu.be/4s_qGfANJew,Translated Youtube,
Agentic AI,Building an Agent Framework Application. Red Team Intro PyRIT,,https://youtu.be/ZogVxrHhWsQ,Translated Youtube,
Reinforcement Learning,"Gemma 4 Post-Training SFT, DPO and GRPO",,https://youtu.be/lJHkX4yKzM4,Translated Youtube,
Computer Vision,De la interpolación clásica a la Super-Resolución con Deep Learning y Transformers,,https://youtu.be/KLF4h83KGTM,Translated Youtube,
